Price History: SP50,,,,,,,,,
,,,,,,,,,
Date,Price,CVol,Change,% Change,"Total Return (Gross, Unhedged)","Cumulative Return % (Gross, Unhedged)",Open,High,Low
11/17/17,"2,578.85",2797216736.68289,-6.79,-0.26,"5,017.45",7.09,"2,582.94","2,583.96","2,577.62"
11/16/17,"2,585.64",2640895693.43758,21.02,0.82,"5,030.48",7.37,"2,572.95","2,590.09","2,572.95"
11/15/17,"2,564.62",2653598767.66586,-14.25,-0.55,"4,987.96",6.46,"2,569.45","2,572.84","2,557.45"
11/14/17,"2,578.87",2598157668.18619,-5.97,-0.23,"5,014.53",7.03,"2,577.75","2,579.66","2,566.56"
11/13/17,"2,584.84",2576977865.21721,2.54,0.10,"5,025.36",7.26,"2,576.53","2,587.66","2,574.48"
11/10/17,"2,582.30",3253826122.52808,-2.32,-0.09,"5,020.31",7.15,"2,580.18","2,583.81","2,575.57"
11/09/17,"2,584.62",3164094794.84093,-9.75,-0.38,"5,023.01",7.21,"2,584.00","2,586.50","2,566.33"
11/08/17,"2,594.38",2611084391.3021,3.73,0.14,"5,040.74",7.59,"2,588.71","2,595.47","2,585.02"
11/07/17,"2,590.64",2516770599.05243,-0.49,-0.02,"5,033.38",7.43,"2,592.11","2,597.02","2,584.35"
11/06/17,"2,591.13",2558109200.64735,3.29,0.13,"5,034.30",7.45,"2,587.47","2,593.38","2,585.66"
11/03/17,"2,587.84",2657863873.14224,7.98,0.31,"5,027.49",7.31,"2,581.93","2,588.42","2,576.77"
11/02/17,"2,579.85",3028982725.77667,0.50,0.02,"5,011.48",6.97,"2,579.46","2,581.11","2,566.17"
11/01/17,"2,579.36",2808570356.63414,4.09,0.16,"5,009.99",6.93,"2,583.21","2,588.40","2,574.92"
10/31/17,"2,575.26",2777432517.96722,2.43,0.09,"5,002.03",6.76,"2,575.99","2,578.29","2,572.15"
10/30/17,"2,572.83",2999276076.98822,-8.23,-0.32,"4,997.15",6.66,"2,577.75","2,580.03","2,568.25"
10/27/17,"2,581.07",3661788780.4985,20.67,0.81,"5,012.75",6.99,"2,570.26","2,582.98","2,565.94"
10/26/17,"2,560.40",2847075058.0368,3.25,0.13,"4,972.60",6.14,"2,560.08","2,567.07","2,559.80"
10/25/17,"2,557.15",3841955873.26813,-11.98,-0.47,"4,966.29",6.00,"2,566.52","2,567.40","2,544.00"
10/24/17,"2,569.13",2696358972.43881,4.16,0.16,"4,989.56",6.50,"2,568.66","2,572.18","2,565.58"
10/23/17,"2,564.98",2484249408.26132,-10.23,-0.40,"4,981.37",6.32,"2,578.08","2,578.29","2,564.33"
