,Date,Price
199,2018-03-16,2752.01
200,2018-03-19,2712.92
201,2018-03-20,2716.94
202,2018-03-21,2711.93
203,2018-03-22,2643.69
204,2018-03-23,2588.26
205,2018-03-26,2658.55
206,2018-03-27,2612.62
207,2018-03-28,2605.0
208,2018-03-29,2640.87
209,2018-04-02,2581.88
210,2018-04-03,2614.45
211,2018-04-04,2644.69
212,2018-04-05,2662.84
213,2018-04-06,2604.47
214,2018-04-09,2613.16
215,2018-04-10,2656.87
216,2018-04-11,2642.19
217,2018-04-12,2663.99
218,2018-04-13,2656.3
219,2018-04-16,2677.84
220,2018-04-17,2706.39
221,2018-04-18,2708.64
222,2018-04-19,2693.13
223,2018-04-20,2670.14
224,2018-04-23,2670.29
225,2018-04-24,2634.56
226,2018-04-25,2639.4
227,2018-04-26,2666.94
228,2018-04-27,2669.91
229,2018-04-30,2648.05
230,2018-05-01,2654.8
231,2018-05-02,2635.67
232,2018-05-03,2629.73
233,2018-05-04,2663.42
234,2018-05-07,2672.63
235,2018-05-08,2671.92
236,2018-05-09,2697.79
237,2018-05-10,2723.07
238,2018-05-11,2727.72
239,2018-05-14,2730.13
240,2018-05-15,2711.45
241,2018-05-16,2722.46
242,2018-05-17,2720.13
243,2018-05-18,2712.97
244,2018-05-21,2733.01
245,2018-05-22,2724.44
246,2018-05-23,2733.29
247,2018-05-24,2727.76
248,2018-05-25,2721.33
249,2018-05-29,2689.86
250,2018-05-30,2724.01
251,2018-05-31,2705.27
252,2018-06-01,2734.62
253,2018-06-04,2746.87
254,2018-06-05,2748.8
255,2018-06-06,2772.35
256,2018-06-07,2770.37
257,2018-06-08,2779.03
258,2018-06-11,2782.0
259,2018-06-12,2786.85
260,2018-06-13,2775.63
261,2018-06-14,2782.49
262,2018-06-15,2779.66
263,2018-06-18,2773.75
264,2018-06-19,2762.59
265,2018-06-20,2767.32
266,2018-06-21,2749.76
267,2018-06-22,2754.88
268,2018-06-25,2717.07
269,2018-06-26,2723.06
270,2018-06-27,2699.63
271,2018-06-28,2716.31
272,2018-06-29,2718.37
273,2018-07-02,2726.71
